pl_name,hostname,gaia_dr3_id,gaia_dr2_id,tic_id,hd_name,ra,dec,sy_vmag,sy_jmag,sy_kmag,sy_tmag,sy_kepmag,sy_gaiamag,st_teff,st_logg,st_met,st_mass,st_rad,st_spectype,st_lum,st_age,st_ageerr1,st_ageerr2,st_rotp,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
TOI-244 b,TOI-244,Gaia DR3 5001098681543159040,Gaia DR2 5001098681543159040,TIC 118327550,,10.5697537,-36.7179743,12.861,8.827,7.97,10.3475,,11.553,3433.0,4.66,-0.39,0.428,0.426,M2.5 V,-1.64264,7.0,4.0,-4.0,53.3,7.397225,1.52,1.7,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
LHS 1140 c,LHS 1140,Gaia DR3 2371032916186181760,Gaia DR2 2371032916186181760,TIC 92226327,,11.248632,-15.2741085,14.15,9.612001,8.821,11.2991,,12.6706,3096.0,5.041,-0.15,0.1844,0.2159,M4.5 V,-2.42022,5.0,,,131.0,3.77794,1.272,1.13,Multiple Observatories,2018,Other
LHS 1140 b,LHS 1140,Gaia DR3 2371032916186181760,Gaia DR2 2371032916186181760,TIC 92226327,,11.248632,-15.2741085,14.15,9.612001,8.821,11.2991,,12.6706,3096.0,5.041,-0.15,0.1844,0.2159,M4.5 V,-2.42022,5.0,,,131.0,24.73723,1.73,2.15,MEarth Project,2017,Other
K2-206 b,K2-206,Gaia DR3 2549096011101118080,Gaia DR2 2549096011101118080,TIC 257392778,,11.2564264,0.5931866,13.084,11.439,10.918,12.2619,12.826,12.8274,5043.0,4.46,-0.14,0.789481,0.758046,,-0.43502,,,,,18.294549,2.79522879,,K2,2018,K2
K2-217 b,K2-217,Gaia DR3 2556248536102683008,Gaia DR2 2556248536102683008,TIC 405333767,,11.2983678,6.4815879,12.264,11.009,10.679,11.601,12.062,12.0279,5967.0,4.17,0.04,1.102661,1.333718,,0.23239,,,,,14.074524,3.57854073,5.688,K2,2018,K2
K2-216 b,K2-216,Gaia DR3 2556231154370582400,Gaia DR2 2556231154370582400,TIC 418761354,,11.4802354,6.3470302,12.403,10.394,9.721,11.375,12.1,12.0576,4503.0,4.57,0.0,0.7,0.72,K5 V,-0.72125,,,,,2.1748,1.75,1.84,K2,2018,K2
K2-207 b,K2-207,Gaia DR3 2549087623029238400,Gaia DR2 2549087623029238400,TIC 257571543,,11.6996481,0.6406182,13.175,11.78,11.383,12.4815,12.971,12.9687,5522.0,4.41,0.11,0.941851,0.928158,,-0.17314,,,,,12.48749,2.60585269,4.296,K2,2018,K2
HD 5278 b,HD 5278,Gaia DR3 4617759514501503616,Gaia DR2 4617759514501503616,TIC 263003176,HD 5278,12.5467785,-83.7437671,7.94,6.949,6.605,7.4371,,7.80375,6203.0,4.5,-0.12,1.126,1.194,F V,0.28035,3.0,1.1,-1.1,16.8,14.339156,2.45,4.8,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
K2-385 b,K2-385,Gaia DR3 2552976943549668352,Gaia DR2 2552976943549668352,TIC 257429687,,12.6140752,5.8712567,14.645,12.816,12.237,13.7196,14.339,14.3355,4844.0,4.64,-0.224,0.927,0.761,,-0.51852,,,,,2.380867,1.539,1.92,K2,2022,K2
K2-220 b,K2-220,Gaia DR3 2581918597853527424,Gaia DR2 2581918597853527424,TIC 266012991,,12.7700071,9.5167694,11.873,10.582,10.161,11.2429,11.752,11.7214,5612.0,4.45,-0.05,0.91,1.026,,-0.06106,,,,,13.68186,2.37,3.12,K2,2018,K2
K2-203 b,K2-203,Gaia DR3 2535901287452166400,Gaia DR2 2535901287452166400,TIC 333605244,,12.7736909,-1.1958844,12.391,10.773,10.206,11.5474,12.114,12.1219,5026.0,4.57,-0.021,0.793,0.765,,-0.47237,6.9,4.6,-4.5,,9.6952,1.26549392,3.1032,K2,2018,K2
K2-218 b,K2-218,Gaia DR3 2556472119215785728,Gaia DR2 2556472119215785728,TIC 266014458,,12.809613,6.8464327,12.92,11.563,11.206,12.2418,12.713,12.7137,5757.0,4.45,0.25,1.047488,1.008231,,-0.00284,,,,,8.679885,2.56948149,3.84,K2,2018,K2
TOI-4638.01,TOI-4638,Gaia DR3 2775311010868306048,Gaia DR2 2775311010868306048,TIC 58824746,,12.8206627,12.7879858,11.657,10.103,9.696,10.7434,,11.2097,5700.0,4.54131,,1.02,0.895,,-0.11858,,,,,10.283918787,2.933,3.7225,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
TOI-3980 b,TOI-3980,Gaia DR3 426758571995216768,Gaia DR2 426758571995216768,TIC 312548829,,12.8419374,59.5758606,12.549,11.133,10.741,11.863,,12.3751,5840.0,4.106,0.188,1.24,1.626,,0.44248,4.7,3.1,-1.3,,3.6089254,14.4595851,2.359,Transiting Exoplanet Survey Satellite (TESS),2025,TESS
K2-219 b,K2-219,Gaia DR3 2581741400387500544,Gaia DR2 2581741400387500544,TIC 266014079,,12.8452963,8.8675474,12.09,10.849,10.424,11.4427,11.923,11.911,5753.0,4.23,0.13,1.021545,1.189232,,0.15097,,,,,3.901287,1.34762583,3.408,K2,2018,K2
K2-219 c,K2-219,Gaia DR3 2581741400387500544,Gaia DR2 2581741400387500544,TIC 266014079,,12.8452963,8.8675474,12.09,10.849,10.424,11.4427,11.923,11.911,5753.0,4.23,0.13,1.021545,1.189232,,0.15097,,,,,6.66767,1.43839723,4.824,K2,2018,K2
K2-219 d,K2-219,Gaia DR3 2581741400387500544,Gaia DR2 2581741400387500544,TIC 266014079,,12.8452963,8.8675474,12.09,10.849,10.424,11.4427,11.923,11.911,5753.0,4.23,0.13,1.021545,1.189232,,0.15097,,,,,11.137278,2.57634456,4.896,K2,2018,K2
TOI-5301 b,TOI-5301,Gaia DR3 2776823148594090752,Gaia DR2 2776823148594090752,TIC 58825110,,12.9908008,13.0783712,11.738,10.616,10.336,11.1893,,11.5696,6240.0,3.926,0.03,1.483,2.19,,0.81624,2.43,1.1,-0.47,,5.858858,13.09208946,3.938,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
HAT-P-28 b,HAT-P-28,Gaia DR3 363702817083391232,Gaia DR2 363702817083391232,TIC 53728859,,13.0009159,34.728402,13.098,11.561,11.104,12.3396,,12.8718,5680.0,4.36,0.12,1.025,1.103,G3,0.053,6.1,2.6,-1.9,,3.257215,13.585,3.2184,HATNet,2011,HAT
EPIC 220674823 c,EPIC 220674823,Gaia DR3 2582617711154563968,Gaia DR2 2582617711154563968,TIC 266015990,,13.0800239,10.7947051,12.101,10.77,10.344,11.4574,11.958,11.9535,5578.0,4.408,-0.005,0.913,0.99,G5 V,-0.11919,7.5,3.8,-4.0,,13.33989,2.84,3.661,K2,2016,K2
EPIC 220674823 b,EPIC 220674823,Gaia DR3 2582617711154563968,Gaia DR2 2582617711154563968,TIC 266015990,,13.0800239,10.7947051,12.101,10.77,10.344,11.4574,11.958,11.9535,5578.0,4.408,-0.005,0.913,0.99,G5 V,-0.11919,7.5,3.8,-4.0,,0.5713127,1.676,1.54,K2,2016,K2
K2-213 b,K2-213,Gaia DR3 2551651031310145024,Gaia DR2 2551651031310145024,TIC 257435562,,13.1403998,3.5077702,11.803,11.034,10.656,11.6049,12.043,12.0409,5794.0,4.25,0.25,1.069596,1.20424,,0.24679,,,,,8.13087,1.51398464,,K2,2018,K2
K2-283 b,K2-283,Gaia DR3 2581916673708201216,Gaia DR2 2581916673708201216,TIC 266017624,,13.1943679,9.6929181,14.364,12.579,11.983,13.4901,14.119,14.1316,5060.0,4.56,0.28,0.89,0.82,,-0.52364,,,,,1.921036,3.52,1.7496,K2,2018,K2
K2-282 b,K2-282,Gaia DR3 2580848395082660992,Gaia DR2 2580848395082660992,TIC 266030192,,13.4321524,7.9952914,14.21,12.437,12.002,13.2667,13.723,13.8183,5499.0,4.5,-0.23,0.94,1.0,,-0.21463,,,,,4.169783,2.5,2.7312,K2,2018,K2
EPIC 220554210 c,K2-282,Gaia DR3 2580848395082660992,Gaia DR2 2580848395082660992,TIC 266030192,,13.4321524,7.9952914,14.21,12.437,12.002,13.2667,13.723,13.8183,5499.0,4.5,-0.23,0.94,1.0,,-0.21463,,,,,0.70531,1.6,1.704,K2,2019,K2
TOI-1472 b,TOI-1472,Gaia DR3 402396521052843264,Gaia DR2 402396521052843264,TIC 306955329,,14.1142611,48.6375168,11.302,9.794,9.277,10.5508,,11.1107,5100.0,4.5,0.27,0.87,0.84,,-0.35556,3.1,0.4,-0.4,,6.36338574,4.058,2.74,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
TOI-1472 c,TOI-1472,Gaia DR3 402396521052843264,Gaia DR2 402396521052843264,TIC 306955329,,14.1142611,48.6375168,11.302,9.794,9.277,10.5508,,11.1107,5100.0,4.5,0.27,0.87,0.84,,-0.35556,3.1,0.4,-0.4,,15.5381747,3.334,2.83,Multiple Observatories,2025,Other
K2-148 b,K2-148,Gaia DR3 2536443724641751808,Gaia DR2 2536443724641751808,TIC 423358488,,14.5176494,-0.193258,13.627,11.082,10.292,12.2481,12.975,13.0599,4079.0,4.653,-0.11,0.65,0.632,,-0.99568,,,,,4.38395,1.33,1.776,K2,2018,K2
K2-148 d,K2-148,Gaia DR3 2536443724641751808,Gaia DR2 2536443724641751808,TIC 423358488,,14.5176494,-0.193258,13.627,11.082,10.292,12.2481,12.975,13.0599,4079.0,4.653,-0.11,0.65,0.632,,-0.99568,,,,,9.7579,1.64,1.8,K2,2018,K2
K2-148 c,K2-148,Gaia DR3 2536443724641751808,Gaia DR2 2536443724641751808,TIC 423358488,,14.5176494,-0.193258,13.627,11.082,10.292,12.2481,12.975,13.0599,4079.0,4.653,-0.11,0.65,0.632,,-0.99568,,,,,6.9226,1.73,2.0304,K2,2018,K2
K2-209 b,K2-209,Gaia DR3 2537467988442521600,Gaia DR2 2537467988442521600,TIC 257436461,,14.6903464,1.382807,11.061,9.263,8.613,10.1095,10.717,10.7447,4720.0,4.46,-0.06,0.74479,0.712365,,-0.58815,,,,,2.080615,0.86850263,,K2,2018,K2
TOI-2420 b,TOI-2420,Gaia DR3 2356241774669130880,Gaia DR2 2356241774669130880,TIC 268532343,,14.8268138,-19.7711643,11.574,10.182,9.8,10.8285,,11.2863,5707.0,3.76,,1.158,2.369,,0.68664,5.3,1.6,-1.6,,5.842641,15.02003414,4.554,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
K2-214 b,K2-214,Gaia DR3 2551946391916754176,Gaia DR2 2551946391916754176,TIC 344657681,,14.8759777,4.2277722,11.806,10.576,10.223,11.1651,11.597,11.599,5875.0,4.28,0.04,1.03,1.236,,0.19579,,,,,8.59656,2.51,3.7296,K2,2018,K2
HATS-68 b,HATS-68,Gaia DR3 4904279261014267648,Gaia DR2 4904279261014267648,TIC 322307342,,15.006077,-58.9047242,12.312,11.25,10.949,11.7806,,12.1631,6147.0,4.083,0.21,1.351,1.748,,0.59218,3.02,0.11,-0.11,,3.5862202,13.809488,3.42,HATSouth,2018,HAT
K2-205 b,K2-205,Gaia DR3 2536584771367726336,Gaia DR2 2536584771367726336,TIC 344661825,,15.2175909,0.425966,12.45,11.235,10.879,11.8374,12.25,12.2509,5890.0,4.25,-0.26,0.951027,1.077574,,0.19406,,,,,26.672263,1.99552771,6.048,K2,2018,K2
TOI-261.01,TOI-261,Gaia DR3 2345033662373296768,Gaia DR2 2345033662373296768,TIC 63898957,,15.2181412,-24.4239934,9.56,8.507,8.182,9.03971,,9.42329,5890.3,3.92,-0.35,0.496728,1.28018,,0.24978,,,,,3.3639254,3.0449863,3.3430495,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
HATS-71 b,HATS-71,Gaia DR3 4710594412266148352,Gaia DR2 4710594412266148352,TIC 234523599,,15.5518893,-61.7561333,16.437,12.605,11.727,14.1266,,15.3512,3405.0,4.7653,0.17,0.4861,0.4783,M3 V,-1.55988,3.2,3.8,-1.5,41.72,3.7955202,11.478016,2.0148,HATSouth,2020,HAT
HD 6061 b,HD 6061,Gaia DR3 369669965470499456,Gaia DR2 369669965470499456,TIC 352413427,HD 6061,15.5981441,37.1854394,8.844,7.711,7.392,8.297,,8.69933,5934.0,4.441,-0.05,1.0269,1.0072,,0.05538,2.4,1.6,-1.3,,5.2549,2.42763557,3.239598,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
TOI-3693 b,TOI-3693,Gaia DR3 404433018447476096,Gaia DR2 404433018447476096,TIC 240823272,,15.6543938,51.3038918,11.948,10.657,10.151,11.419,,11.9579,5321.0,4.581,0.071,0.867,0.791,,-0.3439,3.0,3.8,-2.1,,9.088516,12.59889431,3.5568,Transiting Exoplanet Survey Satellite (TESS),2022,TESS
TOI-6651 b,TOI-6651,Gaia DR3 363314964357100800,Gaia DR2 363314964355784192,TIC 174328045,,15.7885904,35.3890405,10.242,9.022,8.684,9.60892,,10.0418,5940.0,4.087,0.225,1.323,1.721,,0.52244,3.71,0.68,-0.78,,5.056973,5.09,3.61,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
TOI-2046 b,TOI-2046,Gaia DR3 538759464958942208,Gaia DR2 538759464958942208,TIC 468574941,,16.1849423,74.3313055,11.552,10.415,10.094,10.996,,11.4128,6250.0,4.3,-0.06,1.13,1.21,F8 V,0.27967,0.45,0.43,-0.021,3.97,1.4971842,16.14093221,2.41,Transiting Exoplanet Survey Satellite (TESS),2022,TESS
